basis,krylov_dim,E_h2_kqd,E_h4_kqd,ratio_kqd,ratio_exact,sc_err,h2_err,h4_err
sto3g,2,-1.1373060357533995,-2.128223966128967,0.9356426059583608,-0.4327467775933388,0.1463881053778322,1e-14,3.112555010348443
sto3g,4,-1.1373060357533982,-2.135174431025353,0.938698276410239,-0.4327467775933388,0.1394376404814434,1e-14,3.119505475244829
sto3g,6,-1.1373060357533986,-2.1355187155425592,0.9388496360735056,-0.4327467775933388,0.139093355964238,1e-14,3.1198497597620354
sto3g,8,-1.1373060357533986,-2.135534409120426,0.9388565355259718,-0.4327467775933388,0.1390776623863714,1e-14,3.119865453339902
sto3g,10,-1.137306035753399,-2.1355345510730968,0.9388565979333916,-0.4327467775933388,0.1390775204337013,1e-14,3.119865595292573
631g,2,-1.1481654737403524,-2.1870274197623902,0.9524007949123228,-0.4010751838471485,0.1093035277183145,0.0034488461968997,3.110795269942075
631g,4,-1.15161299928234,-2.1949936645106534,0.9530083742882918,-0.4010751838471485,0.1082323340540267,1.3206549120958757e-06,3.118761514690338
631g,6,-1.151614317657292,-2.1957030288507595,0.9533152702188692,-0.4010751838471485,0.1075256064638243,2.2799602206191594e-09,3.119470879030444
631g,8,-1.1516143199372593,-2.1959627947332208,0.9534280516991394,-0.4010751838471485,0.1072658451412977,1e-14,3.1197306449129054
631g,10,-1.1516143199372535,-2.1959572980615003,0.9534256651919493,-0.4010751838471485,0.10727134181300668,1e-14,3.119725148241185
