basis,label,N,variant,raw_dim,eff_dim,gs_total,gs_err,delta,err_int
sto-3g,STO-3G,1,novel,1,1,-1.5809248012803616,0.04659107367466042,0.6936872702264365,0.04659107367466042
sto-3g,STO-3G,1,both_order,2,1,-1.5809248012803616,0.04659107367466042,0.6936872702264365,0.04659107367466042
sto-3g,STO-3G,1,multidt,3,1,-1.5809248012803607,0.04659107367466131,0.6936872702264374,0.04659107367466131
sto-3g,STO-3G,1,hybrid,2,1,-1.5809248012803616,0.04659107367466042,0.6936872702264365,0.04659107367466042
sto-3g,STO-3G,1,joint,1,1,-1.5809248012803616,0.04659107367466042,0.6936872702264365,0.04659107367466042
sto-3g,STO-3G,2,novel,4,4,-1.6214497471299323,0.006066127825089751,0.6531623243768658,0.006066127825089751
sto-3g,STO-3G,2,both_order,8,5,-1.6224030737590196,0.005112801196002437,0.6522089977477785,0.005112801196002437
sto-3g,STO-3G,2,multidt,12,10,-1.6272418433860008,0.00027403156902128245,0.6473702281207974,0.00027403156902128245
sto-3g,STO-3G,2,hybrid,6,5,-1.6224224058056604,0.005093469149361596,0.6521896657011377,0.005093469149361596
sto-3g,STO-3G,2,joint,2,2,-1.6086978069129794,0.018818068042042668,0.6659142645938187,0.018818068042042668
sto-3g,STO-3G,3,novel,9,9,-1.6266421788578116,0.0008736960972104413,0.6479698926489865,0.0008736960972104413
sto-3g,STO-3G,3,both_order,18,13,-1.6273674145814647,0.00014846037355731312,0.6472446569253334,0.00014846037355731312
sto-3g,STO-3G,3,multidt,27,17,-1.6274820311090767,3.384384594529166e-05,0.6471300403977214,3.384384594529166e-05
sto-3g,STO-3G,3,hybrid,12,11,-1.6271453858367986,0.0003704891182234604,0.6474666856699995,0.0003704891182234604
sto-3g,STO-3G,3,joint,3,3,-1.620926725140908,0.006589149814113959,0.65368534636589,0.006589149814113959
sto-3g,STO-3G,4,novel,16,16,-1.6273292675141535,0.00018660744086851366,0.6472828039926446,0.00018660744086851366
sto-3g,STO-3G,4,both_order,32,24,-1.6275142760045265,1.5989504955626899e-06,0.6470977955022716,1.5989504955626899e-06
sto-3g,STO-3G,4,multidt,48,23,-1.6275134838598344,2.3910951876260356e-06,0.6470985876469637,2.3910951876260356e-06
sto-3g,STO-3G,4,hybrid,20,19,-1.627480976925419,3.489802960299215e-05,0.6471310945813791,3.489802960299215e-05
sto-3g,STO-3G,4,joint,4,4,-1.6260825045527758,0.0014333704022462257,0.6485295669540223,0.0014333704022462257
sto-3g,STO-3G,5,novel,25,21,-1.6275066632864137,9.211668608344326e-06,0.6471054082203844,9.211668608344326e-06
sto-3g,STO-3G,5,both_order,50,27,-1.6275158525190037,2.243601837648157e-08,0.6470962189877945,2.243601837648157e-08
sto-3g,STO-3G,5,multidt,75,26,-1.627515793994311,8.096071102414726e-08,0.6470962775124871,8.096071102414726e-08
sto-3g,STO-3G,5,hybrid,30,25,-1.6275156524731926,2.224818294038755e-07,0.6470964190336055,2.224818294038755e-07
sto-3g,STO-3G,5,joint,5,5,-1.6269687532404582,0.0005471217145638363,0.6476433182663399,0.0005471217145638363
sto-3g,STO-3G,6,novel,36,25,-1.6275149918840333,8.830709887774901e-07,0.6470970796227649,8.830709887774901e-07
sto-3g,STO-3G,6,both_order,72,31,-1.6275158743629206,5.921014789578294e-10,0.6470961971438776,5.921014789578294e-10
sto-3g,STO-3G,6,multidt,108,30,-1.6275158727607177,2.1943042938232793e-09,0.6470961987460804,2.1943042938232793e-09
sto-3g,STO-3G,6,hybrid,42,27,-1.6275158470499163,2.7905105781655948e-08,0.6470962244568819,2.7905105781655948e-08
sto-3g,STO-3G,6,joint,6,6,-1.6273766302277455,0.00013924472727655512,0.6472354412790526,0.00013924472727655512
6-31g,6-31G,1,novel,1,1,-1.7185564260687816,0.05992265024068466,0.5846722138057237,0.05992265024068466
6-31g,6-31G,1,both_order,2,1,-1.7185564260687816,0.05992265024068466,0.5846722138057237,0.05992265024068466
6-31g,6-31G,1,multidt,3,1,-1.7185564260687807,0.05992265024068555,0.5846722138057245,0.05992265024068555
6-31g,6-31G,1,hybrid,2,1,-1.7185564260687816,0.05992265024068466,0.5846722138057237,0.05992265024068466
6-31g,6-31G,1,joint,1,1,-1.7185564260687816,0.05992265024068466,0.5846722138057237,0.05992265024068466
6-31g,6-31G,2,novel,4,4,-1.7602554526982646,0.018223623611201667,0.5429731871762407,0.018223623611201667
6-31g,6-31G,2,both_order,8,5,-1.7693314454688105,0.00914763084065573,0.5338971944056947,0.00914763084065573
6-31g,6-31G,2,multidt,12,8,-1.7710938103803011,0.007385265929165108,0.5321348294942041,0.007385265929165108
6-31g,6-31G,2,hybrid,6,5,-1.769315191515874,0.009163884793592203,0.5339134483586312,0.009163884793592203
6-31g,6-31G,2,joint,2,2,-1.7596654495396358,0.01881362676983045,0.5435631903348694,0.01881362676983045
6-31g,6-31G,3,novel,9,8,-1.771289358249117,0.007189718060349293,0.5319392816253883,0.007189718060349293
6-31g,6-31G,3,both_order,18,11,-1.7743157028183125,0.004163373491153699,0.5289129370561927,0.004163373491153699
6-31g,6-31G,3,multidt,27,12,-1.7724449200569206,0.006034156252545664,0.5307837198175847,0.006034156252545664
6-31g,6-31G,3,hybrid,12,10,-1.7744662623145446,0.0040128139949215935,0.5287623775599606,0.0040128139949215935
6-31g,6-31G,3,joint,3,3,-1.7706423061037944,0.007836770205671861,0.5325863337707109,0.007836770205671861
6-31g,6-31G,4,novel,16,13,-1.7725380398772632,0.005941036432203006,0.530690599997242,0.005941036432203006
6-31g,6-31G,4,both_order,32,19,-1.7766142788879282,0.0018647974215380003,0.526614360986577,0.0018647974215380003
6-31g,6-31G,4,multidt,48,16,-1.772727286146158,0.005751790163308179,0.5305013537283472,0.005751790163308179
6-31g,6-31G,4,hybrid,20,15,-1.776160118403217,0.0023189579062492527,0.5270685214712882,0.0023189579062492527
6-31g,6-31G,4,joint,4,4,-1.7746954636481673,0.0037836126612988963,0.5285331762263379,0.0037836126612988963
6-31g,6-31G,5,novel,25,14,-1.772646456454349,0.005832619855117294,0.5305821834201563,0.005832619855117294
6-31g,6-31G,5,both_order,50,20,-1.7767408297963003,0.0017382465131658975,0.5264878100782049,0.0017382465131658975
6-31g,6-31G,5,multidt,75,19,-1.7728876320910407,0.005591444218425501,0.5303410077834645,0.005591444218425501
6-31g,6-31G,5,hybrid,30,17,-1.7770352601738582,0.001443816135608067,0.5261933797006471,0.001443816135608067
6-31g,6-31G,5,joint,5,5,-1.776676746848393,0.001802329461073171,0.5265518930261122,0.001802329461073171
6-31g,6-31G,6,novel,36,17,-1.7727660174069646,0.005713058902501622,0.5304626224675406,0.005713058902501622
6-31g,6-31G,6,both_order,72,27,-1.7771788250603446,0.0013002512491215867,0.5260498148141606,0.0013002512491215867
6-31g,6-31G,6,multidt,108,23,-1.773030366079734,0.0054487102297322565,0.5301982737947712,0.0054487102297322565
6-31g,6-31G,6,hybrid,42,20,-1.777257144059889,0.001221932249577229,0.5259714958146162,0.001221932249577229
6-31g,6-31G,6,joint,6,5,-1.7766552694998206,0.0018238068096456672,0.5265733703746847,0.0018238068096456672
