system,basis,label,active,N,E_joint_R1p1,E_joint_R1000,E_ref,subtraction_P2,delta_P1,delta_P2,delta_exact,delta_exact_P1,err_P1,err_P2,gs_err_joint
H2+H4,sto-3g,STO-3G,full,1,-3.1733293571264554,-3.2119531563733696,-3.2728406341461627,monomers,0.03862379924691428,0.0995112770197073,0.03903919640411413,0.03903919639814735,0.00041539715123306564,0.06047208061559317,0.06047208061559317
H2+H4,sto-3g,STO-3G,full,2,-3.224547692857019,-3.264092668267196,-3.2728406341461627,monomers,0.039544975410176875,0.04829294128914352,0.03903919640411413,0.03903919639814735,0.000505779012029528,0.009253744885029391,0.009253744885029391
H2+H4,sto-3g,STO-3G,full,3,-3.2315763756719953,-3.2712034368090013,-3.2728406341461627,monomers,0.03962706113700598,0.04126425847416737,0.03903919640411413,0.03903919639814735,0.0005878647388586344,0.002225062070053241,0.002225062070053241
H2+H4,sto-3g,STO-3G,full,4,-3.233084420533322,-3.272391252044983,-3.2728406341461627,monomers,0.039306831511661144,0.039756213612840874,0.03903919640411413,0.03903919639814735,0.00026763511351379776,0.0007170172087267446,0.0007170172087267446
H2+H4,sto-3g,STO-3G,full,5,-3.2335721776613653,-3.2727011871003624,-3.2728406341461627,monomers,0.03912900943899711,0.039268456484797376,0.03903919640411413,0.03903919639814735,8.981304084976216e-05,0.00022926008068324677,0.00022926008068324677
H2+H4,sto-3g,STO-3G,full,6,-3.2337316666198532,-3.272801367805804,-3.2728406341461627,monomers,0.039069701185950656,0.039108967526309435,0.03903919640411413,0.03903919639814735,3.050478780330934e-05,6.977112219530568e-05,6.977112219530568e-05
H2+H4,6-31g,6-31G,cas66,1,-3.236152078568626,-3.270084603245996,-3.289093092137568,cas_R1000,0.03393252467737007,0.0529410135689421,0.028858741607653116,0.028858741607653116,0.005073783069716953,0.02408227196128898,0.02408227196128898
H2+H4,6-31g,6-31G,cas66,2,-3.2574263267154606,-3.2870590017591885,-3.289093092137568,cas_R1000,0.029632675043727907,0.031666765422107446,0.028858741607653116,0.028858741607653116,0.0007739334360747918,0.00280802381445433,0.00280802381445433
H2+H4,6-31g,6-31G,cas66,3,-3.259464730881925,-3.2886089850263156,-3.289093092137568,cas_R1000,0.02914425414439048,0.029628361255642943,0.028858741607653116,0.028858741607653116,0.00028551253673736454,0.0007696196479898276,0.0007696196479898276
H2+H4,6-31g,6-31G,cas66,4,-3.2599942484492797,-3.2889672775652032,-3.289093092137568,cas_R1000,0.028973029115923588,0.02909884368828841,0.028858741607653116,0.028858741607653116,0.00011428750827047196,0.00024010208063529603,0.00024010208063529603
H2+H4,6-31g,6-31G,cas66,5,-3.260163152129646,-3.2890646957922396,-3.289093092137568,cas_R1000,0.028901543662593454,0.028929940007921928,0.028858741607653116,0.028858741607653116,4.280205494033851e-05,7.119840026881263e-05,7.119840026881263e-05
H2+H4,6-31g,6-31G,cas66,6,-3.260209842537508,-3.289083661511718,-3.289093092137568,cas_R1000,0.028873818974210153,0.028883249600060168,0.028858741607653116,0.028858741607653116,1.5077366557036953e-05,2.450799240705237e-05,2.450799240705237e-05
