R,N,procedure,basis_dim,gs_total_R,gs_total_Rref,E_int,E_int_exact,int_err
1000.0,2,novel,4,-2.2746120715067857,-2.2746120715067857,0.0,0.0,0.0
1000.0,3,novel,4,-2.274612071506785,-2.274612071506785,0.0,0.0,0.0
1000.0,4,novel,4,-2.2746120715067866,-2.2746120715067866,0.0,0.0,0.0
1000.0,2,baseline_separate,2,-2.2741091697481925,-2.2741091697481925,0.0,0.0,0.0
1000.0,3,baseline_separate,2,-2.274612071506784,-2.274612071506784,0.0,0.0,0.0
1000.0,4,baseline_separate,2,-2.274612071506785,-2.274612071506785,0.0,0.0,0.0
1000.0,2,baseline_dimer,2,-2.2741091697481925,-2.2741091697481925,0.0,0.0,0.0
1000.0,3,baseline_dimer,2,-2.274612071506784,-2.274612071506784,0.0,0.0,0.0
1000.0,4,baseline_dimer,2,-2.274612071506785,-2.274612071506785,0.0,0.0,0.0
100.0,2,novel,4,-2.274612071504755,-2.2746120715067857,2.0308199566443363e-12,2.0263790645458357e-12,4.440892098500626e-15
100.0,3,novel,4,-2.2746120715047597,-2.274612071506785,2.0250467969162855e-12,2.0263790645458357e-12,1.3322676295501878e-15
100.0,4,novel,4,-2.274612071504758,-2.2746120715067866,2.028599510595086e-12,2.0263790645458357e-12,2.220446049250313e-15
100.0,2,baseline_separate,2,-2.274109254656498,-2.2741091697481925,-8.490830527563276e-08,2.0263790645458357e-12,8.49103316546973e-08
100.0,3,baseline_separate,2,-2.2746120715047553,-2.274612071506784,2.028599510595086e-12,2.0263790645458357e-12,2.220446049250313e-15
100.0,4,baseline_separate,2,-2.2746120715047597,-2.274612071506785,2.0250467969162855e-12,2.0263790645458357e-12,1.3322676295501878e-15
100.0,2,baseline_dimer,2,-2.274109254656498,-2.2741091697481925,-8.490830527563276e-08,2.0263790645458357e-12,8.49103316546973e-08
100.0,3,baseline_dimer,2,-2.2746120715047553,-2.274612071506784,2.028599510595086e-12,2.0263790645458357e-12,2.220446049250313e-15
100.0,4,baseline_dimer,2,-2.2746120715047597,-2.274612071506785,2.0250467969162855e-12,2.0263790645458357e-12,1.3322676295501878e-15
10.0,2,novel,4,-2.274328032464206,-2.2746120715067857,0.0002840390425795647,1.236450701824765e-07,0.0002839153975093822
10.0,3,novel,4,-2.274611935558037,-2.274612071506785,1.3594874781475141e-07,1.236450701824765e-07,1.2303677632274912e-08
10.0,4,novel,4,-2.274611943627572,-2.2746120715067866,1.278792147729746e-07,1.236450701824765e-07,4.23414459049809e-09
10.0,2,baseline_separate,2,-2.274109900781148,-2.2741091697481925,-7.310329555032524e-07,1.236450701824765e-07,8.546780256857289e-07
10.0,3,baseline_separate,2,-2.27461194086396,-2.274612071506784,1.3064282411434647e-07,1.236450701824765e-07,6.9977539318699655e-09
10.0,4,baseline_separate,2,-2.274611947860962,-2.274612071506785,1.236458229136872e-07,1.236450701824765e-07,7.527312106958561e-13
10.0,2,baseline_dimer,2,-2.274109900781148,-2.2741091697481925,-7.310329555032524e-07,1.236450701824765e-07,8.546780256857289e-07
10.0,3,baseline_dimer,2,-2.27461194086396,-2.274612071506784,1.3064282411434647e-07,1.236450701824765e-07,6.9977539318699655e-09
10.0,4,baseline_dimer,2,-2.274611947860962,-2.274612071506785,1.236458229136872e-07,1.236450701824765e-07,7.527312106958561e-13
1.1,2,novel,4,-1.6214497471299438,-2.2746120715067857,0.6531623243768419,0.6470961965517512,0.006066127825090639
1.1,3,novel,4,-1.6266421788580159,-2.274612071506785,0.6479698926487689,0.6470961965517512,0.0008736960970177066
1.1,4,novel,4,-1.6273292675139954,-2.2746120715067866,0.6472828039927911,0.6470961965517512,0.0001866074410399321
1.1,2,baseline_separate,2,-1.6086978069129776,-2.2741091697481925,0.665411362835215,0.6470961965517512,0.018315166283463746
1.1,3,baseline_separate,2,-1.6209267251409054,-2.274612071506784,0.6536853463658785,0.6470961965517512,0.006589149814127282
1.1,4,baseline_separate,2,-1.6260825045527794,-2.274612071506785,0.6485295669540054,0.6470961965517512,0.0014333704022542193
1.1,2,baseline_dimer,2,-1.6086978069129776,-2.2741091697481925,0.665411362835215,0.6470961965517512,0.018315166283463746
1.1,3,baseline_dimer,2,-1.6209267251409054,-2.274612071506784,0.6536853463658785,0.6470961965517512,0.006589149814127282
1.1,4,baseline_dimer,2,-1.6260825045527794,-2.274612071506785,0.6485295669540054,0.6470961965517512,0.0014333704022542193
