N,procedure,delta_sep,sep_err
2,novel,0.5376742487239161,0.012924684583387247
3,novel,0.5317870723667131,0.007037508226184208
4,novel,0.5307453741865933,0.00599581004606442
5,novel,0.5303044151278762,0.005554850987347315
6,novel,0.5302309313230333,0.005481367182504471
7,novel,0.5302045925953429,0.005455028454814048
8,novel,0.5301648426062808,0.00541527846575196
2,baseline_separate,0.5368482939850994,0.0120987298445705
3,baseline_separate,0.531251938773595,0.0065023746330661325
4,baseline_separate,0.5282033965846411,0.003453832444112237
5,baseline_separate,0.5265153141071739,0.001765749966645025
6,baseline_separate,0.5265359744782891,0.0017864103377602802
7,baseline_separate,0.5253832423385472,0.0006336781980182948
8,baseline_separate,0.5253973197993842,0.0006477556588553313
2,baseline_dimer,0.5368482939850994,0.0120987298445705
3,baseline_dimer,0.531251938773595,0.0065023746330661325
4,baseline_dimer,0.5282033965846411,0.003453832444112237
5,baseline_dimer,0.5265153141071739,0.001765749966645025
6,baseline_dimer,0.5265359744782891,0.0017864103377602802
7,baseline_dimer,0.5253832423385472,0.0006336781980182948
8,baseline_dimer,0.5253973197993842,0.0006477556588553313
