basis,R,N,procedure,basis_dim,eff_dim,gs_total,gs_err,s_min
6-31g,1.1,2,novel,4,4,-1.7546752088388322,0.023803867470621576,1.3659169120893248e-08
6-31g,1.1,3,novel,9,6,-1.7550513399541892,0.023427736355264628,-8.882428570800137e-16
6-31g,1.1,4,novel,16,10,-1.7713893742825695,0.007089702026884304,-1.5111118092104095e-15
6-31g,1.1,5,novel,25,13,-1.7721035801667222,0.006375496142731585,-2.6623059879378916e-15
6-31g,1.1,6,novel,36,17,-1.7726726884945778,0.0058063878148759684,-5.90157892543434e-15
6-31g,1.1,7,novel,49,21,-1.772821093705704,0.005657982603749723,-7.787547866974372e-15
6-31g,1.1,8,novel,64,22,-1.7729270424644028,0.005552033845050985,-9.43542060876946e-15
6-31g,1.1,9,novel,81,24,-1.7730020207218233,0.005477055587630453,-1.2068179062516563e-14
6-31g,1.1,10,novel,100,26,-1.7730367430805503,0.005442333228903529,-1.566305900922923e-14
6-31g,1.1,11,novel,121,29,-1.7731166758906438,0.005362400418809976,-2.276462310126701e-14
6-31g,1.1,12,novel,144,32,-1.7731867862751027,0.005292290034351055,-3.293236142032362e-14
6-31g,1.1,2,baseline_separate,2,2,-1.7596654495396056,0.018813626769848213,0.0006460332434628513
6-31g,1.1,2,baseline_dimer,2,2,-1.7596654495396056,0.018813626769848213,0.0006460332434628513
6-31g,1.1,3,baseline_separate,3,3,-1.7706423061036647,0.007836770205789101,6.732287059753555e-06
6-31g,1.1,3,baseline_dimer,3,3,-1.7706423061036647,0.007836770205789101,6.732287059753555e-06
6-31g,1.1,4,baseline_separate,4,4,-1.7746954636729262,0.0037836126365276,7.758240133402227e-08
6-31g,1.1,4,baseline_dimer,4,4,-1.7746954636729262,0.0037836126365276,7.758240133402227e-08
6-31g,1.1,5,baseline_separate,5,5,-1.7766767478794216,0.0018023284300321407,1.0694770558850333e-09
6-31g,1.1,5,baseline_dimer,5,5,-1.7766767478794216,0.0018023284300321407,1.0694770558850333e-09
6-31g,1.1,6,baseline_separate,6,5,-1.7766552693718758,0.0018238069375779986,2.062603927026114e-11
6-31g,1.1,6,baseline_dimer,6,5,-1.7766552693718758,0.0018238069375779986,2.062603927026114e-11
6-31g,1.1,7,baseline_separate,7,6,-1.7778443224257225,0.0006347538837312428,1.977921223438567e-13
6-31g,1.1,7,baseline_dimer,7,6,-1.7778443224257225,0.0006347538837312428,1.977921223438567e-13
6-31g,1.1,8,baseline_separate,8,6,-1.7778301775725849,0.0006488987368689081,2.855744688162991e-15
6-31g,1.1,8,baseline_dimer,8,6,-1.7778301775725849,0.0006488987368689081,2.855744688162991e-15
6-31g,1.1,9,baseline_separate,9,6,-1.7778138146094022,0.0006652617000515448,4.070344778938374e-16
6-31g,1.1,9,baseline_dimer,9,6,-1.7778138146094022,0.0006652617000515448,4.070344778938374e-16
6-31g,1.1,10,baseline_separate,10,7,-1.77822573336634,0.0002533429431137435,2.7609478813634347e-16
6-31g,1.1,10,baseline_dimer,10,7,-1.77822573336634,0.0002533429431137435,2.7609478813634347e-16
6-31g,1.1,11,baseline_separate,11,7,-1.7782192589520394,0.0002598173574144269,-1.527662940601641e-16
6-31g,1.1,11,baseline_dimer,11,7,-1.7782192589520394,0.0002598173574144269,-1.527662940601641e-16
6-31g,1.1,12,baseline_separate,12,7,-1.7782119834839678,0.0002670928254859817,-5.914961271698972e-16
6-31g,1.1,12,baseline_dimer,12,7,-1.7782119834839678,0.0002670928254859817,-5.914961271698972e-16
