R,N,procedure,E_int,E_int_exact,int_err
1000.0,2,novel,0.0,0.0,0.0
1000.0,3,novel,0.0,0.0,0.0
1000.0,4,novel,0.0,0.0,0.0
1000.0,5,novel,0.0,0.0,0.0
1000.0,6,novel,0.0,0.0,0.0
1000.0,2,baseline_separate,0.0,0.0,0.0
1000.0,3,baseline_separate,0.0,0.0,0.0
1000.0,4,baseline_separate,0.0,0.0,0.0
1000.0,5,baseline_separate,0.0,0.0,0.0
1000.0,6,baseline_separate,0.0,0.0,0.0
1000.0,2,baseline_dimer,0.0,0.0,0.0
1000.0,3,baseline_dimer,0.0,0.0,0.0
1000.0,4,baseline_dimer,0.0,0.0,0.0
1000.0,5,baseline_dimer,0.0,0.0,0.0
1000.0,6,baseline_dimer,0.0,0.0,0.0
100.0,2,novel,1.9837465004002297e-12,2.0250467969162855e-12,4.1300296516055823e-14
100.0,3,novel,2.0268231537556858e-12,2.0250467969162855e-12,1.7763568394002505e-15
100.0,4,novel,2.029043599804936e-12,2.0250467969162855e-12,3.9968028886505635e-15
100.0,5,novel,2.027711332175386e-12,2.0250467969162855e-12,2.6645352591003757e-15
100.0,6,novel,2.0259349753359857e-12,2.0250467969162855e-12,8.881784197001252e-16
100.0,2,baseline_separate,-8.490830527563276e-08,2.0250467969162855e-12,8.491033032242967e-08
100.0,3,baseline_separate,2.029043599804936e-12,2.0250467969162855e-12,3.9968028886505635e-15
100.0,4,baseline_separate,2.028599510595086e-12,2.0250467969162855e-12,3.552713678800501e-15
100.0,5,baseline_separate,2.0254908861261356e-12,2.0250467969162855e-12,4.440892098500626e-16
100.0,6,baseline_separate,2.0308199566443363e-12,2.0250467969162855e-12,5.773159728050814e-15
100.0,2,baseline_dimer,-8.490830527563276e-08,2.0250467969162855e-12,8.491033032242967e-08
100.0,3,baseline_dimer,2.029043599804936e-12,2.0250467969162855e-12,3.9968028886505635e-15
100.0,4,baseline_dimer,2.028599510595086e-12,2.0250467969162855e-12,3.552713678800501e-15
100.0,5,baseline_dimer,2.0254908861261356e-12,2.0250467969162855e-12,4.440892098500626e-16
100.0,6,baseline_dimer,2.0308199566443363e-12,2.0250467969162855e-12,5.773159728050814e-15
10.0,2,novel,0.002459726832578557,1.2364507195883334e-07,0.0024596031875065982
10.0,3,novel,1.303285110942909e-07,1.2364507195883334e-07,6.683439135457547e-09
10.0,4,novel,1.2402674887113108e-07,1.2364507195883334e-07,3.816769122977348e-10
10.0,5,novel,1.2424513995412667e-07,1.2364507195883334e-07,6.000679952933297e-10
10.0,6,novel,1.238305356032754e-07,1.2364507195883334e-07,1.854636444420521e-10
10.0,2,baseline_separate,-7.310329497300927e-07,1.2364507195883334e-07,8.54678021688926e-07
10.0,3,baseline_separate,1.3064282722297094e-07,1.2364507195883334e-07,6.997755264137595e-09
10.0,4,baseline_separate,1.236458273545793e-07,1.2364507195883334e-07,7.553957459549565e-13
10.0,5,baseline_separate,1.236463185172454e-07,1.2364507195883334e-07,1.2465584120491258e-12
10.0,6,baseline_separate,1.236472075838435e-07,1.2364507195883334e-07,2.135625010168951e-12
10.0,2,baseline_dimer,-7.310329497300927e-07,1.2364507195883334e-07,8.54678021688926e-07
10.0,3,baseline_dimer,1.3064282722297094e-07,1.2364507195883334e-07,6.997755264137595e-09
10.0,4,baseline_dimer,1.236458273545793e-07,1.2364507195883334e-07,7.553957459549565e-13
10.0,5,baseline_dimer,1.236463185172454e-07,1.2364507195883334e-07,1.2465584120491258e-12
10.0,6,baseline_dimer,1.236472075838435e-07,1.2364507195883334e-07,2.135625010168951e-12
1.1,2,novel,0.648671820550506,0.6470961965517557,0.0015756239987503307
1.1,3,novel,0.6472919963316199,0.6470961965517557,0.00019579977986428077
1.1,4,novel,0.6471295337987151,0.6470961965517557,3.333724695941953e-05
1.1,5,novel,0.6471003680779788,0.6470961965517557,4.171526223117894e-06
1.1,6,novel,0.6470970796257198,0.6470961965517557,8.830739641751961e-07
1.1,2,baseline_separate,0.6654113628352043,0.6470961965517557,0.018315166283448647
1.1,3,baseline_separate,0.6536853463658705,0.6470961965517557,0.0065891498141148475
1.1,4,baseline_separate,0.6485295669540019,0.6470961965517557,0.0014333704022462257
1.1,5,baseline_separate,0.6476433182663257,0.6470961965517557,0.0005471217145700535
1.1,6,baseline_separate,0.6472354412790313,0.6470961965517557,0.00013924472727566695
1.1,2,baseline_dimer,0.6654113628352043,0.6470961965517557,0.018315166283448647
1.1,3,baseline_dimer,0.6536853463658705,0.6470961965517557,0.0065891498141148475
1.1,4,baseline_dimer,0.6485295669540019,0.6470961965517557,0.0014333704022462257
1.1,5,baseline_dimer,0.6476433182663257,0.6470961965517557,0.0005471217145700535
1.1,6,baseline_dimer,0.6472354412790313,0.6470961965517557,0.00013924472727566695
