N,kd_used,E_ed,E_kqd,e_per_spin_ed,e_per_spin_kqd,abs_error,frac_error
2,4,-2.8284271247461903,-2.8284271247461907,-1.4142135623730951,-1.4142135623730954,4.440892098500626e-16,-1.570092458683775e-16
4,14,-5.226251859505504,-5.226251859505499,-1.306562964876376,-1.3065629648763748,4.440892098500626e-15,8.497279155086134e-16
6,14,-7.727406610312549,-7.723342285155287,-1.2879011017187583,-1.2872237141925478,0.004064325157262516,0.0005259623780944182
8,14,-10.251661790966015,-10.075909804860354,-1.2814577238707519,-1.2594887256075442,0.17575198610566112,0.017143755782163782
10,14,-12.784906442999322,-12.27560119921653,-1.2784906442999322,-1.227560119921653,0.5093052437827925,0.039836446676672764
12,14,-15.322595151080762,-13.690586118309605,-1.27688292925673,-1.1408821765258004,1.6320090327711565,0.10650996235817434
2,4,-2.8284271247461903,-2.8284271247461907,-1.4142135623730951,-1.4142135623730954,4.440892098500626e-16,-1.570092458683775e-16
4,14,-5.226251859505504,-5.226251859505499,-1.306562964876376,-1.3065629648763748,4.440892098500626e-15,8.497279155086134e-16
6,14,-7.727406610312549,-7.723342285155287,-1.2879011017187583,-1.2872237141925478,0.004064325157262516,0.0005259623780944182
8,14,-10.251661790966015,-10.075909804860354,-1.2814577238707519,-1.2594887256075442,0.17575198610566112,0.017143755782163782
10,14,-12.784906442999322,-12.27560119921653,-1.2784906442999322,-1.227560119921653,0.5093052437827925,0.039836446676672764
12,14,-15.322595151080762,-13.690586118309605,-1.27688292925673,-1.1408821765258004,1.6320090327711565,0.10650996235817434
2,4,-2.8284271247461903,-2.8284271247461907,-1.4142135623730951,-1.4142135623730954,4.440892098500626e-16,-1.570092458683775e-16
4,14,-5.226251859505504,-5.226251859505499,-1.306562964876376,-1.3065629648763748,4.440892098500626e-15,8.497279155086134e-16
6,14,-7.727406610312549,-7.723342285155287,-1.2879011017187583,-1.2872237141925478,0.004064325157262516,0.0005259623780944182
8,14,-10.251661790966015,-10.075909804860354,-1.2814577238707519,-1.2594887256075442,0.17575198610566112,0.017143755782163782
10,14,-12.784906442999322,-12.27560119921653,-1.2784906442999322,-1.227560119921653,0.5093052437827925,0.039836446676672764
12,14,-15.322595151080762,-13.690586118309605,-1.27688292925673,-1.1408821765258004,1.6320090327711565,0.10650996235817434
2,4,-2.8284271247461903,-2.8284271247461907,-1.4142135623730951,-1.4142135623730954,4.440892098500626e-16,-1.570092458683775e-16
4,14,-5.226251859505504,-5.226251859505499,-1.306562964876376,-1.3065629648763748,4.440892098500626e-15,8.497279155086134e-16
6,14,-7.727406610312549,-7.723342285155287,-1.2879011017187583,-1.2872237141925478,0.004064325157262516,0.0005259623780944182
8,14,-10.251661790966015,-10.075909804860354,-1.2814577238707519,-1.2594887256075442,0.17575198610566112,0.017143755782163782
10,14,-12.784906442999322,-12.27560119921653,-1.2784906442999322,-1.227560119921653,0.5093052437827925,0.039836446676672764
12,14,-15.322595151080762,-13.690586118309605,-1.27688292925673,-1.1408821765258004,1.6320090327711565,0.10650996235817434
